Date,Player,Runs,NotOut,Minutes,BallsFaced,Fours,Sixes,StrikeRate,Innings,Participation,Opposition,Ground
26-03-2015,MM Sharma,0,FALSE,1,1,0,0,0,2,B,Australia,Sydney
26-03-2015,UT Yadav,0,FALSE,5,5,0,0,0,2,B,Australia,Sydney
18-06-2015,R Ashwin,0,FALSE,1,1,0,0,0,2,B,Bangladesh,Dhaka
21-06-2015,RG Sharma,0,FALSE,1,2,0,0,0,1,B,Bangladesh,Dhaka
21-06-2015,AT Rayudu,0,FALSE,5,3,0,0,0,1,B,Bangladesh,Dhaka
21-06-2015,AR Patel,0,FALSE,1,1,0,0,0,1,B,Bangladesh,Dhaka
10-07-2015,RV Uthappa,0,FALSE,6,3,0,0,0,1,B,Zimbabwe,Harare
14-10-2015,SK Raina,0,FALSE,6,5,0,0,0,1,B,South Africa,Indore
18-10-2015,SK Raina,0,FALSE,11,2,0,0,0,2,B,South Africa,Rajkot
22-10-2015,Harbhajan Singh,0,FALSE,2,1,0,0,0,1,B,South Africa,Chennai
22-10-2015,B Kumar,0,FALSE,1,1,0,0,0,1,B,South Africa,Chennai
25-10-2015,Harbhajan Singh,0,FALSE,6,4,0,0,0,2,B,South Africa,Mumbai
20-01-2016,MS Dhoni,0,FALSE,2,3,0,0,0,2,B,Australia,Canberra
20-01-2016,I Sharma,0,FALSE,8,3,0,0,0,2,B,Australia,Canberra
